,Tokens,yomi,pos,difficulty,wtype,KNOW,WRITE,READ,SPEAK,LISTEN
14,挨拶,アイサツ,名詞,lower elementary,Chinese,1.8881890882248,1.11643330070734,1.35717121770029,1.40680892241118,1.52686193642411
21,アイス,アイス,名詞,lower elementary,foreign,1.90279752926615,0.651053326686717,0.960862731874796,1.39434263427918,1.28129326918393
50,青い,アオイ,イ形容詞,lower elementary,native Jap.,2.0538212960952,0.926748907259215,1.09637939392226,1.16899160021846,1.24265529582822
57,赤,アカ,名詞,lower elementary,native Jap.,2.10360183612611,1.25767119216741,1.64071125894173,1.69235241304814,1.75601249811728
59,赤い,アカイ,イ形容詞,lower elementary,native Jap.,1.92762520244562,1.35295045173054,1.43809193503962,1.40724402028575,1.34479707224587
76,明るい,アカルイ,イ形容詞,lower elementary,native Jap.,2.10050135641039,1.26762442391199,1.56773166869694,1.52287754221819,1.66054488263057
79,秋,アキ,名詞,lower elementary,native Jap.,1.87152481732916,1.19574057418161,1.38072205832296,1.39375972045904,1.50212220358365
134,開ける,アケル,動詞2類,lower elementary,native Jap.,1.86914881287459,1.03922160283099,1.43489723352714,1.48577766309282,1.69876510853387
148,朝御飯,アサゴハン,名詞,lower elementary,hybird,1.70294314478913,0.547499401130187,0.797118165731667,1.26711636524566,1.20936414183483
160,足,アシ,接尾辞,lower elementary,native Jap.,2.01028716902944,1.05977773725301,1.41096250791911,1.42100887424536,1.35405013151109
188,あそこ,アソコ,代名詞,lower elementary,native Jap.,1.72477164287749,0.592058437058562,0.780939875455014,1.30316245321335,1.30675291242069
196,暖かい,アタタカイ,イ形容詞,lower elementary,native Jap.,2.09520572191784,1.15635739786589,1.53091096697161,1.67620668510307,1.74305718018057
197,温かい,アタタカイ,イ形容詞,lower elementary,native Jap.,2.04966478583952,1.05862065879492,1.33469728605122,1.47853918597517,1.50180024263437
206,新しい,アタラシイ,イ形容詞,lower elementary,native Jap.,1.78887201567707,1.49142367422686,1.52292352444114,1.56578752637302,1.57809975618688
217,暑い,アツイ,イ形容詞,lower elementary,native Jap.,1.95826607257297,1.14083117063503,1.4560727642479,1.68927572939451,1.65565458373251
218,熱い,アツイ,イ形容詞,lower elementary,native Jap.,2.07541853219024,1.40317815611274,1.58042161772404,1.71718862388072,1.74905929726776
219,厚い,アツイ,イ形容詞,lower elementary,native Jap.,1.73822791722338,0.757764207421672,1.12833796237039,1.05728731382274,1.16468037123315
244,後,アト,名詞,lower elementary,native Jap.,1.89254035518618,1.31760175923723,1.48855123346179,1.52691229131079,1.53031291175688
259,あなた,アナタ,代名詞,lower elementary,native Jap.,1.8509856228929,1.15054300352461,1.6546714371923,1.38782798182985,1.56685145523471
262,兄,アニ,名詞,lower elementary,native Jap.,1.99895637729824,0.853634725725809,1.34849193176682,1.03576322711892,1.2303767355887
278,危ない,アブナイ,イ形容詞,lower elementary,native Jap.,2.0016620914309,1.25783271407403,1.33370231355679,1.42927424250035,1.35350331341218
287,甘い,アマイ,イ形容詞,lower elementary,native Jap.,1.95605294414408,1.03209036980996,1.42815601085536,1.57545353397755,1.56642057562155
315,あめ,アメ,名詞,lower elementary,native Jap.,1.74761906222434,0.861224496978137,0.82764519665482,1.10206848273822,1.08533014071331
317,アメリカ,アメリカ,名詞,lower elementary,foreign,1.77350360147389,1.03451979349692,1.30098764397499,1.29535634596008,1.35979196383162
374,あれ,アレ,名詞,lower elementary,native Jap.,1.65086176358497,1.07742092219951,1.16799769080214,1.4583557798516,1.4247830653272
448,いいえ,イイエ,感動詞,lower elementary,native Jap.,1.90565912002169,1.21793615448104,1.40308313964284,1.71428525476444,1.53181480268727
463,家,イエ,名詞,lower elementary,native Jap.,1.76642621042388,1.04919442329139,1.32453458119374,1.54043773916959,1.48707465160058
523,行く,イク,動詞1類,lower elementary,native Jap.,1.96286308217078,1.4174182446373,1.48659593699763,1.57391602854201,1.55761993677026
597,忙しい,イソガシイ,イ形容詞,lower elementary,native Jap.,1.77955076100182,0.941308045748265,1.11391174215531,1.34958336817852,1.32133553397728
636,一月,イチガツ,名詞,lower elementary,Chinese,1.74760316628007,1.01091382708357,1.09597074777786,1.13533142853656,1.18535708904322
640,いちご,イチゴ,名詞,lower elementary,native Jap.,1.63646443076956,0.814811551820159,0.860619919216345,1.07099784382074,1.11948869741863
654,一日,イチニチ,名詞,lower elementary,Chinese,1.92287477922502,1.28237436150243,1.34931220428471,1.53964944232762,1.53009412405106
656,一年,イチネン,名詞,lower elementary,Chinese,1.98649796979619,1.26058176189967,1.39606334720412,1.66501716179096,1.76051967223105
658,一番,イチバン,名詞,lower elementary,Chinese,2.08785298820025,1.09581678313734,1.39493728754572,1.41347628806953,1.48997718186129
684,いつ,イツ,名詞,lower elementary,native Jap.,1.81189358681163,1.14880507126346,1.31583929480261,1.55480539834861,1.52396768245669
724,五つ,イツツ,名詞,lower elementary,native Jap.,1.89583401721056,0.52355503795263,0.814149675557637,0.932413002501561,0.916850683521028
775,犬,イヌ,名詞,lower elementary,native Jap.,2.03476651063054,0.925885050326299,1.23526795486402,1.41636297148654,1.57819556841703
812,妹,イモウト,名詞,lower elementary,native Jap.,1.95944151174264,0.520809608692888,1.2100464219576,1.15477839145935,1.32536746044543
837,入り口,イリグチ,名詞,lower elementary,native Jap.,1.89671919401423,0.582113035698981,1.15509215581019,1.12225405044035,1.18531839896041
842,いる,イル,動詞2類,lower elementary,native Jap.,1.76938893245706,0.963005948480877,1.37481107421475,1.16403886956372,1.25624152664973
930,上,ウエ,名詞,lower elementary,native Jap.,2.03256714494197,1.44096328877263,1.63642858653679,1.66580339325785,1.69080452369215
973,後ろ,ウシロ,名詞,lower elementary,native Jap.,1.928121601056,1.08574797258089,1.45517924207998,1.57465775382093,1.63180393454206
1001,歌,ウタ,名詞,lower elementary,native Jap.,2.0769168492653,1.01172081861196,1.38714681569214,1.48297749818363,1.55886619927126
1002,歌う,ウタウ,動詞1類,lower elementary,native Jap.,1.92587068077972,0.863522908176743,1.1946128269687,1.17930199647109,1.35530006029564
1074,海,ウミ,名詞,lower elementary,native Jap.,2.03223398571729,0.818557848134233,1.25382228401649,1.0558054538434,1.11758495164954
1175,絵,エ,名詞,lower elementary,Chinese,1.62991000400392,1.0180841992519,1.0646422909887,1.08789412142361,1.05612383960633
1184,映画,エイガ,名詞,lower elementary,Chinese,1.73014895558773,0.598652492107129,0.861339199178762,1.07289073499821,1.10297931259779
1191,英語,エイゴ,名詞,lower elementary,Chinese,1.94707368261636,0.86990019361086,1.21576436108132,1.05853975378862,1.20282359726739
