,Tokens,yomi,pos,difficulty,wtype,KNOW,WRITE,READ,SPEAK,LISTEN
14,挨拶,アイサツ,名詞,lower elementary,Chinese,1.8881890882248,1.11643330070734,1.35717121770029,1.40680892241118,1.52686193642411
79,秋,アキ,名詞,lower elementary,native Jap.,1.87152481732916,1.19574057418161,1.38072205832296,1.39375972045904,1.50212220358365
278,危ない,アブナイ,イ形容詞,lower elementary,native Jap.,2.0016620914309,1.25783271407403,1.33370231355679,1.42927424250035,1.35350331341218
317,アメリカ,アメリカ,名詞,lower elementary,foreign,1.77350360147389,1.03451979349692,1.30098764397499,1.29535634596008,1.35979196383162
597,忙しい,イソガシイ,イ形容詞,lower elementary,native Jap.,1.77955076100182,0.941308045748265,1.11391174215531,1.34958336817852,1.32133553397728
654,一日,イチニチ,名詞,lower elementary,Chinese,1.92287477922502,1.28237436150243,1.34931220428471,1.53964944232762,1.53009412405106
684,いつ,イツ,名詞,lower elementary,native Jap.,1.81189358681163,1.14880507126346,1.31583929480261,1.55480539834861,1.52396768245669
1002,歌う,ウタウ,動詞1類,lower elementary,native Jap.,1.92587068077972,0.863522908176743,1.1946128269687,1.17930199647109,1.35530006029564
1472,起きる,オキル,動詞2類,lower elementary,native Jap.,1.96369936120724,1.18832275486679,1.29980126420835,1.54102462547118,1.60148348147717
1595,男の子,オトコノコ,名詞,lower elementary,native Jap.,1.91940302437357,0.813739444874225,1.29834857984374,1.33853982745895,1.35582014970173
1661,重い,オモイ,イ形容詞,lower elementary,native Jap.,1.90736564349986,1.01579414028904,1.27492925211952,1.49370716395695,1.52384622927536
1937,階段,カイダン,名詞,lower elementary,Chinese,1.94487610252452,1.09914415855399,1.3327055013532,1.48027776290832,1.53806965551971
2276,菓子,カシ,名詞,lower elementary,Chinese,1.91610578203503,0.948842970288812,1.20448179178042,1.27135670310979,1.57965178154165
2426,学校,ガッコウ,名詞,lower elementary,Chinese,1.9572662150069,0.892839277527295,1.46013299553875,1.51922457676789,1.59634424388019
2572,カメラ,カメラ,名詞,lower elementary,foreign,1.86083134030141,0.845698087578418,1.12735956861134,1.21492331652363,1.36589045748077
2608,体,カラダ,名詞,lower elementary,native Jap.,1.8888175675323,1.03025083989418,1.29513300804472,1.32462791425369,1.40738051671946
2643,軽い,カルイ,イ形容詞,lower elementary,native Jap.,1.96472722288146,1.13177819343568,1.46071602371863,1.46526524060817,1.49425504059794
2661,かわいい,カワイイ,イ形容詞,lower elementary,native Jap.,1.86787253661016,1.01165190198444,1.39836082764599,1.43313885466079,1.50765826851446
3065,汚い,キタナイ,イ形容詞,lower elementary,native Jap.,1.9558549527418,1.01359768345003,1.40458800090066,1.44765615044188,1.47977419980901
3359,兄弟,キョウダイ,名詞,lower elementary,Chinese,1.94507294427241,1.06194135382983,1.3106312982052,1.16426768743696,1.31981842783516
3485,きれい,キレイ,ナ形容詞,lower elementary,Chinese,1.98902151218354,1.10687888279678,1.43211427897676,1.48088663026727,1.44312950342323
3533,銀行,ギンコウ,名詞,lower elementary,Chinese,1.97846899623644,0.790778515592528,1.4742878147043,1.47650341396823,1.3864923933072
3687,靴,クツ,名詞,lower elementary,native Jap.,1.9683088739066,1.0164461937092,1.33549065830816,1.30954888222976,1.24610934947607
3739,暗い,クライ,イ形容詞,lower elementary,native Jap.,1.9067481254714,1.11369359184208,1.40583469848668,1.27833336004495,1.40519901384534
3804,黒,クロ,名詞,lower elementary,native Jap.,1.99330016776545,1.02348646277534,1.29233611062914,1.34152969266104,1.26220461017488
4103,元気,ゲンキ,名詞,lower elementary,Chinese,1.82135523755791,1.16015942486634,1.44073363015587,1.49233999072427,1.56978937657242
4304,公園,コウエン,名詞,lower elementary,Chinese,2.00180338046971,1.00440759543553,1.3172851766711,1.4095872002233,1.46222488371899
4902,これから,コレカラ,名詞,lower elementary,native Jap.,1.83136798734778,1.14947665120319,1.39439648265905,1.41731321055508,1.51253145637385
4982,コンビニ,コンビニ,名詞,lower elementary,foreign,1.79166372194994,0.941774553797743,1.36991951183428,1.57474090369889,1.60999502719892
5655,静か,シズカ,ナ形容詞,lower elementary,native Jap.,1.91585098997709,0.926110154708895,1.28362111690482,1.40166007443122,1.37503842958024
5726,七月,シチガツ,名詞,lower elementary,Chinese,1.95976778720083,0.934193085587812,1.22084212512576,1.21939580647689,1.30229120661519
5844,自動車,ジドウシャ,名詞,lower elementary,Chinese,1.82942846900641,0.951046150771412,1.35818445914573,1.33722254806632,1.43584307924483
6111,十月,ジュウガツ,名詞,lower elementary,Chinese,1.91544764917129,0.851688407654929,1.18549930873735,1.25389799151398,1.30198335956821
6921,親切,シンセツ,名詞,lower elementary,Chinese,1.92766479085645,1.0577154731399,1.32265715049653,1.40739724936099,1.41993580510406
6986,新聞,シンブン,名詞,lower elementary,Chinese,1.92848318929671,0.823625130760946,1.27477433199933,1.30900693252624,1.37502757086819
7167,すし,スシ,名詞,lower elementary,native Jap.,1.81014312695264,0.820159073049728,1.1672848356599,1.32600814288362,1.41969070089083
7994,そこ,ソコ,代名詞,lower elementary,native Jap.,1.9109649938882,1.04428280513114,1.16699965285606,1.51546870001959,1.47575757925949
8543,楽しい,タノシイ,イ形容詞,lower elementary,native Jap.,1.98706759279025,0.860657887577219,1.42649263388168,1.53454041282397,1.48239045572042
